covariate,coef,exp(coef),p
PD_01vs2,1.2191326170471928,3.3842510185356556,0.00047739191273576145
LN tumor size (mm)_val,0.04244199450677763,1.0433555342660163,0.0127926561621321
DOI (mm),0.028631395172758225,1.0290452135254462,0.10313358885179721
tumor size (cm),0.19743831397384687,1.2182779119285798,0.05760960886587106
contra_bilateral_val,0.6099316154779745,1.840305546063349,0.2878956881019715
