covariate,coef,exp(coef),p
PD_01vs2,0.7638486805851531,2.1465216194479657,0.013146361796129798
LN tumor size (mm)_val,0.03284906837047212,1.0333945555459512,0.027244269774129456
DOI (mm),0.027649060924405066,1.0280348435108795,0.10146599364213094
tumor size (cm),-0.05298897416136164,0.9483904692249308,0.5855696425323442
contra_bilateral_val,0.1272352852488509,1.1356841960873891,0.8319890832604051
