pred,obs,lo,hi,n
0.19262032435735468,0.16049382716049354,0.06259369746227095,0.377164025383356,27
0.22338176644211624,0.19547325102880642,0.08561466773852056,0.41053956746371745,27
0.28439128210810866,0.3176206509539845,0.15980635066657045,0.5677693524704379,27
0.4172387562188653,0.40064102564102555,0.23849958963039675,0.6177671265898025,26
0.6672688555773655,0.7201840894148588,0.5089184852378799,0.8978172171003637,26
