covariate,coef,exp(coef),p
PD_01vs2,1.0472902180780086,2.8499179890027193,0.0004357281932327902
LN tumor size (mm)_val,0.03310979996634962,1.0336640292862223,0.027027520505715212
DOI (mm),0.03310971571491396,1.0336639421985476,0.03533309407444986
tumor size (cm),0.15549241292817162,1.1682330725653942,0.09737476296036428
contra_bilateral_val,0.8597872443325352,2.36265797135549,0.07903869587487238
