covariate,coef,exp(coef),p
tumor size (cm),0.18731124713965056,1.2060025914973804,0.067621105383229
DOI (mm),0.02613850597516887,1.0264831126724343,0.15816203245005372
PD_01vs2,1.2216095420977087,3.392643944694232,0.00046230119755382506
bone invasion_val,0.5382384262889056,1.7129866505520952,0.12250563546878304
LN meta count_val,-0.022462346060302375,0.9777880540726068,0.4896916926581185
LN tumor size (mm)_val,0.03972968956700499,1.040529470202765,0.06098929469864671
ENE_val,0.301137656508752,1.3513953571013977,0.5050356955007755
contra_bilateral_val,1.0334382492058884,2.8107131725528536,0.09946677988676893
