covariate,coef,exp(coef),p
tumor size (cm),-0.05045127721189324,0.9508002531830558,0.5982196867959289
DOI (mm),0.02786321968000708,1.0282550297502453,0.12693670995151185
PD_01vs2,0.8268633401120274,2.2861366491383306,0.007308805361441353
bone invasion_val,0.2656289209854976,1.3042509887068239,0.3741495476637635
LN meta count_val,-0.035299438125747686,0.9653163204668215,0.29006668490857695
LN tumor size (mm)_val,0.040297238755737715,1.0411201894746962,0.035845131042693414
ENE_val,0.027324996147897462,1.0277017476043155,0.9458121531884579
contra_bilateral_val,0.44656145259912117,1.5629287306376511,0.4716678816095061
