covariate,coef,exp(coef),p
tumor size (cm),0.14676879328549908,1.1580861747742484,0.11505680094305389
DOI (mm),0.02809767159342888,1.0284961343720713,0.09510997826057799
PD_01vs2,1.0372409206253375,2.821421738877847,0.0005406043712204933
bone invasion_val,0.412829271197912,1.511087017833508,0.16986493941432274
LN meta count_val,-0.0024819836304642903,0.9975210939442168,0.9285321190435872
LN tumor size (mm)_val,0.025511403869880427,1.0258396047451113,0.19113570148933973
ENE_val,0.26962267217911934,1.3094702579438287,0.5125513340347082
contra_bilateral_val,1.1162831203805548,3.0534836537406838,0.04362731979453052
