covariate,coef,exp(coef),p
tumor size (cm),0.0664110492024953,1.0686659011631008,0.44651264162741866
DOI (mm),0.031613616155018,1.032118634285029,0.047553993448288305
PD_01vs2,0.9916416161491085,2.695656074613967,0.00025990770910974095
bone invasion_val,0.21241587243725904,1.2366620718229202,0.4185319989240358
LN meta count_val,-0.027306008601599808,0.9730634301807068,0.2725872152337015
LN tumor size (mm)_val,0.03902885883908431,1.0398004906522116,0.027412237073948062
ENE_val,-0.05118808015238578,0.9500999587818577,0.8904218761490214
contra_bilateral_val,0.7690941795696711,2.157810779175635,0.1314181499807864
