variable,coef,HR,p,std_beta,range_beta,rank_std
PD cellularity,1.0379,2.823,0.0006,0.4191,1.0379,1
DOI (mm),0.0278,1.028,0.1387,0.2549,1.3637,2
Tumor size (cm),0.1465,1.158,0.1168,0.254,1.8022,3
Bilateral/contralat.,1.1157,3.052,0.0438,0.2324,1.1157,4
LN deposit (mm),0.0255,1.026,0.191,0.2221,1.0718,5
Bone invasion,0.409,1.505,0.2072,0.1962,0.409,6
ENE,0.2701,1.31,0.512,0.1059,0.2701,7
LN count,-0.0023,0.998,0.9371,0.0101,0.0923,8
Depth of bone inv. (mm),0.0008,1.001,0.9745,0.0048,0.0243,9
