variable,coef,HR,p,std_beta,range_beta,rank_std
PD_01vs2,1.0133,2.755,0.0002,0.4091,1.0133,1
LN deposit (mm),0.0394,1.04,0.0259,0.343,1.6555,2
DOI (mm),0.0261,1.026,0.1347,0.2391,1.2793,3
Bilateral/contralat.,0.7473,2.111,0.1435,0.1557,0.7473,4
Tumor size (cm),0.0679,1.07,0.4334,0.1177,0.8349,5
Depth of bone inv. (mm),0.0181,1.018,0.4188,0.1137,0.5783,6
LN count,-0.0227,0.978,0.3757,0.102,0.9319,7
Bone invasion,0.1088,1.115,0.7123,0.0522,0.1088,8
ENE,-0.0484,0.953,0.8961,0.019,0.0484,9
