variable,coef,HR,p,std_beta,range_beta,rank_std
LN deposit (mm),0.0406,1.041,0.0346,0.3533,1.705,1
PD cellularity,0.8468,2.332,0.0065,0.3419,0.8468,2
DOI (mm),0.0249,1.025,0.1983,0.228,1.2198,3
LN count,-0.0328,0.968,0.3335,0.1474,1.3458,4
Bone invasion,0.2004,1.222,0.5449,0.0961,0.2004,5
Bilateral/contralat.,0.4334,1.543,0.485,0.0903,0.4334,6
Tumor size (cm),-0.0512,0.95,0.5905,0.0887,0.6295,7
Depth of bone inv. (mm),0.0121,1.012,0.6371,0.0759,0.386,8
ENE,0.0255,1.026,0.9493,0.01,0.0255,9
