variable,coef,HR,p,std_beta,range_beta,rank_std
PD_01vs2,1.2181,3.381,0.0005,0.4918,1.2181,1
LN deposit (mm),0.0396,1.04,0.0618,0.3449,1.6645,2
Tumor size (cm),0.1896,1.209,0.0675,0.3287,2.3326,3
Bone invasion,0.5551,1.742,0.1285,0.2663,0.5551,4
DOI (mm),0.0274,1.028,0.1786,0.2513,1.3445,5
Bilateral/contralat.,1.0346,2.814,0.0991,0.2156,1.0346,6
ENE,0.2964,1.345,0.513,0.1162,0.2964,7
LN count,-0.0236,0.977,0.4789,0.1059,0.9672,8
Depth of bone inv. (mm),-0.004,0.996,0.8795,0.0253,0.1286,9
