idx	18BR003	11BR024	11BR042	01BR033	03BR002	11BR023	11BR036	01BR018	14BR008	11BR004	15BR003	06BR005	11BR016	20BR005	11BR080	18BR002	11BR018	03BR010	22BR006	18BR007	11BR025	05BR026	11BR055	05BR029	11BR043	05BR009	11BR030	11BR038	20BR008	03BR004	11BR020	11BR056	11BR019	11BR010	01BR027	11BR060	11BR072	18BR017	20BR001	14BR005	05BR001	03BR005	03BR013	21BR010	11BR053	11BR017	20BR002	05BR003	11BR031	09BR007	11BR059	11BR015	01BR030	06BR014	18BR009	11BR028	11BR050	11BR049	11BR075	11BR054	22BR005	13BR009	05BR016	11BR014	18BR016	06BR003	11BR051	06BR006	14BR014	20BR007	09BR005	20BR006	18BR010	16BR012	11BR013	11BR012	09BR004	11BR032	18BR019	11BR027	11BR003	11BR074	01BR001	05BR038	01BR017	01BR015	11BR022	01BR025	11BR009	11BR006	11BR011	05BR005	11BR058	11BR040	11BR073	01BR032	01BR031	18BR004	11BR047	18BR006	11BR044
hsa-miR-216b-5p	0	0	0	0	0	0.5418	0	0.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4845	0	0	0	0	0	0.6082	0	0.7851	0.7783	0	0	0	0	0.4608	0	0	0	0	0	0	0	0	0.3097	0	0.5077	0	0	0	0.4551	0	0	0.2238	0	0	0.3925	0	0	0	0	0	0	0	0	0	0	0	0.2415	0	0	0.3802	0	0	0	0	0.6199	0	0.4168	0	0	0	0.9129	0	0	0	0	0	0.4017	0.2957	0.5168	0	0	0.2639	0	0	0	0.289	0.4052	0	0
hsa-miR-217	0	0	0	0	0.5363	0	0.3212	0	0	0.3986	0	0.3092	0	0.5377	0	0	0	0	0	0	0.4424	0	0	0	0	0	0	0.6082	0.2673	0	0	0.4972	0	0	0	0.4608	0	0.998	0.1969	0	0	0	0	0	0	0.4994	0.5077	0	0	0	0.4551	0	0	0	0	0	0.3925	0	0.4571	0	0	0	0	0	0	0	0.4136	0	0.2415	0	0	0	0	0	0.8168	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-1-3p	0.3812	0	0	0	0.5363	0.5418	0.3212	0	0.3597	0	0	0.3092	0	0.2938	0	0	1.2734	0	0.4119	0.4379	0.4424	0.4845	0.3817	0	0	0.4426	0	0.6082	0	0	0	0.2699	0.4505	0.2896	0	0.4608	0	0	0	0	1.634	0	0	0	0.3097	0	0.5077	1.1326	0	0	0.4551	0	0.819	0.2238	0.4808	0	0.5549	0.2029	0.4571	0	0.3522	0.2455	0	0.8817	0.2625	0.4178	0.4136	0	0	0.8997	0.3132	0	1.3712	0	0.4654	0	0.7787	0.3147	0	0	0	0	0	0.6652	0	0	0.5496	0	0	0	0	0	0.6909	0.68	0	0	0	0	0	0.348	0.3616
hsa-miR-218-2-3p	0	0	0	0	0.5363	0	0	0	0	0	0.2616	0	0	0.2938	0	0.3456	0	0	0	0	0	0	0	0	0	0	0	0.6082	0	0	0.441	0.2699	0	0.2896	0	0.4608	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3332	0	0	0	0	0	0	0	0	0	0	0	0	0.2783	0	0.2625	0	0.2216	0	0	0	0	0	0	0	0	0	0.2375	0	0	0.8419	0	0	0	0.3706	0	0	0	0	0	0	0	0.4705	0	0.68	0	0	0	0.289	0.4052	0	0
hsa-miR-218-5p	2.8778	3.0592	3.7253	3.5078	4.1052	3.2719	6.3453	3.9646	3.0641	5.3608	2.6249	3.7976	3.1335	3.7941	4.6276	3.101	4.8751	2.7488	3.6514	3.45	3.7613	4.3332	2.5474	4.4579	3.7922	4.6262	3.7227	4.821	3.9304	3.4281	4.394	3.8658	1.9754	4.8364	2.8857	3.2714	3.9282	4.488	4.0697	3.4863	4.5291	4.1701	3.7958	3.6097	3.0744	2.1073	3.0303	4.1931	3.8418	3.2589	4.0183	2.732	3.5483	3.5113	4.9196	3.3095	6.228	5.1589	4.1819	2.1009	3.2998	4.2475	3.7831	3.856	4.1182	3.5125	3.5997	4.6706	3.9443	3.3954	4.4007	3.6735	3.5001	3.355	3.6784	3.8461	4.6215	4.4248	4.136	3.4984	3.1551	3.6475	3.2306	3.9125	3.5554	3.6593	3.9425	3.8378	2.3713	3.1636	4.0822	3.8576	3.1175	4.4644	4.4081	2.3038	4.0452	2.7583	3.2375	3.6391	5.8141
hsa-miR-219a-1-3p	1.7736	1.8884	2.1785	1.9568	1.2332	3.2022	3.1262	2.5536	1.2726	0	1.5791	1.542	2.8521	2.3405	2.1483	1.392	1.9391	1.3367	1.7282	2.4879	1.4825	2.0679	1.6416	3.0538	2.1572	1.4829	2.9551	2.7587	2.3421	2.6	1.9488	1.7062	1.9754	2.3225	3.9261	2.5588	1.9947	2.4562	0.7917	2.5605	2.8701	2.1756	1.9907	2.455	1.6577	2.2395	2.5484	2.3712	1.6098	2.3664	1.0789	2.8023	1.7192	1.9457	1.9139	3.1577	1.5242	0.539	2.3508	2.5996	1.8025	1.2007	1.5435	0.3571	1.8459	3.1251	1.1124	1.8381	2.3759	3.2277	2.663	2.0055	2.0613	2.2634	2.7465	1.2253	2.5872	1.1499	1.8796	2.4569	3.1551	1.4045	1.6812	2.3506	2.6732	2.5816	1.7305	2.1126	2.6176	1.4955	1.4452	2.39	1.5074	1.8518	1.831	2.8042	2.2304	1.7821	2.0851	1.2413	1.4378
hsa-miR-219a-2-3p	0	0.471	0.3047	0	0	0.5418	0.8059	0	0	0.3986	0	0	0	0.2938	0	0.3456	0	0	0	0.4379	0.4424	0	0	0.459	0	0	0	0	0	0	0.441	0.6935	0	0	0.774	0.4608	0	0.5836	0.1969	0	0	0	0	0	0	0.4994	0	0	0.5974	0	0	0.4136	0.819	0.4175	0	0	0	0.6816	0.4571	0	0	0	0.2783	0	0.4846	0.4178	0.2216	0	0	0	0.3132	0	0	0	0	0	5.6026	0	0	0	0	0.2701	0	0.9097	0	0.5013	0	0	0.4017	0.5409	0	0.4705	0	0	0	0	0	0.289	0	0.348	0
hsa-miR-219a-5p	0	0.471	0.3047	0	0.5363	0.5418	2.582	0	0.3597	0.7105	0	0	1.0263	0.5377	0.3919	0.6243	0	0.4662	0	0	0.4424	0	0.3817	0.6433	0.5795	0	0.2844	1.3635	0	0	0.441	0.6935	0.4505	0	0.774	0	0	0	0.1969	0	0	0	0	0	0	0.8696	0.5077	0	0	0	0.8005	0	0	0	0	0.2607	0.2096	0.539	0.2466	0	0	0	0	0	0.2625	0.7413	0	0.7171	0	0.6573	1.1454	0.6808	0	1.0608	0	0	0.7787	0	0.5873	0.8419	1.169	0	1.2167	0	0	0	0.5496	0	0.9732	0	0	0	0	0.4869	0	0.7049	0.7979	0.5296	0	0.348	0.3616
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	0	0	0	0	0	0	0.5838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2477	0	0	0	0	0	0	0	0	0.4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2466	0	0	0	0	0	0	0	0	0	0.2415	0	0.3132	0	0	0	0	0	0.7787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
