outcome,type,var,boot_HR_lo,boot_HR_hi,boot_n
PFS,multivariate,tumor_size,1.1002032005617157,1.5359371880154975,1000
PFS,multivariate,LN_deposit,1.0081569245813122,1.0923547382232945,1000
PFS,multivariate,PD_HC,2.304816501998156,8.150956367280365,1000
DSS,multivariate,tumor_size,1.3737537650706808,1.9237701965427894,1000
DSS,multivariate,LN_deposit,1.0024994174709818,1.1003016439301496,1000
DSS,multivariate,PD_HC,4.028295829524508,20.657763355271545,979
DSS,multivariate,LVI,1.5769877969305004,7.92425660653052,999
OS,multivariate,PD_HC,2.9975412172682967,11.235773291850546,997
LRRFS,multivariate,LN_deposit,1.0155500013247185,1.1068777903356466,1000
