label,seed,model,n,C_app,C_lo,C_hi,C_optimism_corr,CV_mean,CV_sd,NRI,IDI,CV_B_mean,CV_B_sd,CV_C_mean,CV_C_sd,CV_d_mean,CV_d_lo,CV_d_hi,NRI_C_vs_A,IDI_C_vs_A,NRI_B_vs_A,IDI_B_vs_A,NRI_diff,IDI_diff,HR,HR_lo,HR_hi,HR_p
PFS,42,A_clinical,133,0.7226680934546104,0.6483235241662209,0.7128589263420724,0.6334520711396615,0.603194091546129,0.08610151455358309,,,,,,,,,,,,,,,,,,,
PFS,42,B_ajcc8th,133,0.7294453361869092,0.6579454253611557,0.7183788121990369,0.6399823387821753,0.6086695570317294,0.08258233193569152,,,,,,,,,,,,,,,,,,,
PFS,42,C_modified,133,0.7660067772427323,0.7043606206527555,0.7579810950597468,0.6937014861907299,0.6679828304137061,0.08625435962249191,,,,,,,,,,,,,,,,,,,
PFS,42,B_vs_A,133,,,,,,,0.4070961718020541,0.01983681594332909,,,,,,,,,,,,,,,,,
PFS,42,C_vs_A,133,,,,,,,1.0065359477124183,0.11312331036315726,,,,,,,,,,,,,,,,,
PFS,42,C_vs_B,133,,,,,,,0.9822595704948647,0.09328649441982817,,,,,,,,,,,,,,,,,
PFS,42,S2_C_vs_B,133,,,,,,,0.9822595704948647,0.09328649441982817,0.6086695570317294,0.08258233193569152,0.6679828304137061,0.08625435962249191,0.059313273381976755,-0.05221586738438953,0.133917493796526,,,,,,,,,,
PFS,42,S3_increment_C_vs_B,133,,,,,,,,,,,,,,,,1.0065359477124183,0.11312331036315726,0.4070961718020541,0.01983681594332909,0.5994397759103642,0.09328649441982817,,,,
PFS,42,HR_age,133,,,,,,,,,,,,,,,,,,,,,,1.0126102629442102,0.9891502100634325,1.0366267268488845,0.2947273410019017
PFS,42,HR_TIL,133,,,,,,,,,,,,,,,,,,,,,,0.9765332431423253,0.8891189464870587,1.0725417321606339,0.6196801251446872
