label,seed,model,n,C_app,C_lo,C_hi,C_optimism_corr,CV_mean,CV_sd,NRI,IDI,CV_B_mean,CV_B_sd,CV_C_mean,CV_C_sd,CV_d_mean,CV_d_lo,CV_d_hi,NRI_C_vs_A,IDI_C_vs_A,NRI_B_vs_A,IDI_B_vs_A,NRI_diff,IDI_diff,HR,HR_lo,HR_hi,HR_p
PFS,2026,A_clinical,129,0.733689431514689,0.6465280427317818,0.7199160625715375,0.6372974521684918,0.608151357725339,0.0867373741376533,,,,,,,,,,,,,,,,,,,
PFS,2026,B_ajcc8th,129,0.7386493704692866,0.6544067149942769,0.7240747806180847,0.6422624026658703,0.6143713185240403,0.0862962891243443,,,,,,,,,,,,,,,,,,,
PFS,2026,C_modified,129,0.7722243418542541,0.696070202212896,0.7640022892025944,0.6948067396288489,0.677808605530824,0.0863060829835134,,,,,,,,,,,,,,,,,,,
PFS,2026,B_vs_A,129,,,,,,,0.4331797235023041,0.0201127277842821,,,,,,,,,,,,,,,,,
PFS,2026,C_vs_A,129,,,,,,,1.0263331138907177,0.1118982539267042,,,,,,,,,,,,,,,,,
PFS,2026,C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,,,,,,,,,,,,,,,,,
PFS,2026,S2_C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,0.6143713185240403,0.0862962891243443,0.677808605530824,0.0863060829835134,0.063437287006784,-0.0022421524663677,0.1484473767383059,,,,,,,,,,
PFS,2026,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.0263331138907177,0.1118982539267042,0.4331797235023041,0.0201127277842821,0.5931533903884134,0.091785526142422,,,,
PFS,777,A_clinical,129,0.733689431514689,0.6563143838229683,0.7211655856543304,0.6402710550374364,0.6068609835834182,0.0995617423197974,,,,,,,,,,,,,,,,,,,
PFS,777,B_ajcc8th,129,0.7386493704692866,0.6657859595574208,0.7240557039297978,0.6449753063386967,0.6148470251239079,0.0987475271218778,,,,,,,,,,,,,,,,,,,
PFS,777,C_modified,129,0.7722243418542541,0.696804654711942,0.7591186570011446,0.6969802639643614,0.6692235273584322,0.0866288971206996,,,,,,,,,,,,,,,,,,,
PFS,777,B_vs_A,129,,,,,,,0.4331797235023041,0.0201127277842821,,,,,,,,,,,,,,,,,
PFS,777,C_vs_A,129,,,,,,,1.0263331138907177,0.1118982539267042,,,,,,,,,,,,,,,,,
PFS,777,C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,,,,,,,,,,,,,,,,,
PFS,777,S2_C_vs_B,129,,,,,,,0.9532587228439764,0.091785526142422,0.6148470251239079,0.0987475271218778,0.6692235273584322,0.0866288971206996,0.0543765022345243,0.0041410635400406,0.1190860215053763,,,,,,,,,,
PFS,777,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.0263331138907177,0.1118982539267042,0.4331797235023041,0.0201127277842821,0.5931533903884134,0.091785526142422,,,,
DSS,42,A_clinical,129,0.8805100182149362,0.7852823315118397,0.8682695810564662,0.8113031877238713,0.7762393443009978,0.0850191471931154,,,,,,,,,,,,,,,,,,,
DSS,42,B_ajcc8th,129,0.8867030965391621,0.8049544626593808,0.8801457194899818,0.8222024442695761,0.7988916978256202,0.0763891882411915,,,,,,,,,,,,,,,,,,,
DSS,42,C_modified,129,0.9016393442622952,0.8389071038251366,0.898360655737705,0.847261591771806,0.8263840516612049,0.0567761407327786,,,,,,,,,,,,,,,,,,,
DSS,42,B_vs_A,129,,,,,,,0.8611111111111112,0.0491552196904493,,,,,,,,,,,,,,,,,
DSS,42,C_vs_A,129,,,,,,,1.1944444444444444,0.1014687820563757,,,,,,,,,,,,,,,,,
DSS,42,C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,,,,,,,,,,,,,,,,,
DSS,42,S2_C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,0.7988916978256202,0.0763891882411915,0.8263840516612049,0.0567761407327786,0.0274923538355845,-0.0615995115995115,0.1228888888888888,,,,,,,,,,
DSS,42,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.1944444444444444,0.1014687820563757,0.8611111111111112,0.0491552196904493,0.3333333333333332,0.0523135623659263,,,,
DSS,42,HR_age,129,,,,,,,,,,,,,,,,,,,,,,1.0063197208444024,0.976046843179154,1.0375315361523874,0.6860331692476378
DSS,42,HR_TIL,129,,,,,,,,,,,,,,,,,,,,,,0.9832209312585588,0.8639587004460004,1.118946309778346,0.7975786937803114
DSS,42,HR_differentiation,129,,,,,,,,,,,,,,,,,,,,,,1.74699029077514,1.0773107859043176,2.832956947981093,0.023704789109419
DSS,42,HR_tumor size (cm),129,,,,,,,,,,,,,,,,,,,,,,1.271522807043541,1.0245353146760086,1.578052240535175,0.0292624865216708
DSS,42,HR_DOI (mm),129,,,,,,,,,,,,,,,,,,,,,,1.0330570268045332,0.9939295686723072,1.0737247932525025,0.0987627836490091
DSS,42,HR_성별,129,,,,,,,,,,,,,,,,,,,,,,0.7311014710731315,0.3607824671073631,1.4815280944520937,0.384760507611842
DSS,42,HR_budding_01vs23,129,,,,,,,,,,,,,,,,,,,,,,0.7806831563507746,0.3780903058612209,1.6119593154380272,0.5033105926536012
DSS,42,HR_PNI,129,,,,,,,,,,,,,,,,,,,,,,1.95689952694649,0.8141513203999999,4.703616714251535,0.1334996901947042
DSS,42,HR_LVI,129,,,,,,,,,,,,,,,,,,,,,,1.7142578414907337,0.7018167358105044,4.187246893904129,0.2368588168202026
DSS,42,HR_RM,129,,,,,,,,,,,,,,,,,,,,,,0.8704570041573083,0.3406072590915432,2.224542712646281,0.7719664690246165
DSS,42,HR_TSR,129,,,,,,,,,,,,,,,,,,,,,,0.384229630772433,0.1216002736622285,1.214079579899644,0.103208475000137
DSS,42,HR_WPOI5_2tier,129,,,,,,,,,,,,,,,,,,,,,,1.0888550807397344,0.4760613647881198,2.4904465569904204,0.8401778565297129
DSS,42,HR_subsite_2,129,,,,,,,,,,,,,,,,,,,,,,0.5947385338926946,0.145648937349988,2.4285376202016,0.4691308670333098
DSS,42,HR_subsite_3,129,,,,,,,,,,,,,,,,,,,,,,0.7852113455943415,0.3460138664575956,1.781884823178426,0.5630434049624238
DSS,42,HR_subsite_4,129,,,,,,,,,,,,,,,,,,,,,,1.2095133546755172,0.3674025686517604,3.9817972980070326,0.754359505632942
DSS,42,HR_subsite_5,129,,,,,,,,,,,,,,,,,,,,,,0.5678685382800723,0.0039200416544402,82.26307401684879,0.8236176217043061
DSS,42,HR_subsite_6,129,,,,,,,,,,,,,,,,,,,,,,1.1375848599668814,0.3777217540223525,3.426065085860234,0.818741760618482
DSS,42,HR_subsite_7,129,,,,,,,,,,,,,,,,,,,,,,1.2835498794731688,0.5598658966592481,2.9426694909018654,0.5553932278141716
DSS,42,HR_subsite_8,129,,,,,,,,,,,,,,,,,,,,,,3.892418365992264,0.7763727023889258,19.5150095943533,0.0984872703784623
DSS,42,HR_Tx_3tier_1,129,,,,,,,,,,,,,,,,,,,,,,1.3995301043026986,0.6589488546360497,2.9724378441045207,0.3817723303444738
DSS,42,HR_Tx_3tier_2,129,,,,,,,,,,,,,,,,,,,,,,1.2174137500135505,0.4763014625885907,3.111676858322454,0.6811621970921776
DSS,42,HR_HPV/P16_1,129,,,,,,,,,,,,,,,,,,,,,,0.3518198588825397,0.0146397512444333,8.454871331997223,0.519589912742995
DSS,42,HR_HPV/P16_2,129,,,,,,,,,,,,,,,,,,,,,,0.5908822571493543,0.2711125217360465,1.2878115683414948,0.1856280362858124
DSS,123,A_clinical,129,0.8805100182149362,0.7927504553734062,0.8726593806921676,0.8024044284510901,0.7846605919323675,0.0765319973720164,,,,,,,,,,,,,,,,,,,
DSS,123,B_ajcc8th,129,0.8867030965391621,0.8053734061930783,0.8791621129326047,0.8138344524689466,0.7948309351740582,0.0824227149620037,,,,,,,,,,,,,,,,,,,
DSS,123,C_modified,129,0.9016393442622952,0.8398907103825137,0.8990528233151185,0.8415279198393577,0.837416172270817,0.0707247863636663,,,,,,,,,,,,,,,,,,,
DSS,123,B_vs_A,129,,,,,,,0.8611111111111112,0.0491552196904493,,,,,,,,,,,,,,,,,
DSS,123,C_vs_A,129,,,,,,,1.1944444444444444,0.1014687820563757,,,,,,,,,,,,,,,,,
DSS,123,C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,,,,,,,,,,,,,,,,,
DSS,123,S2_C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,0.7948309351740582,0.0824227149620037,0.837416172270817,0.0707247863636663,0.0425852370967587,-0.0158059342421812,0.128587566753389,,,,,,,,,,
DSS,123,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.1944444444444444,0.1014687820563757,0.8611111111111112,0.0491552196904493,0.3333333333333332,0.0523135623659263,,,,
DSS,2026,A_clinical,129,0.8805100182149362,0.7845901639344263,0.8687795992714026,0.8067298214965877,0.7758743337357631,0.0898878231293086,,,,,,,,,,,,,,,,,,,
DSS,2026,B_ajcc8th,129,0.8867030965391621,0.8044444444444445,0.8775591985428052,0.8181979694230128,0.8003598556374859,0.0828987591396949,,,,,,,,,,,,,,,,,,,
DSS,2026,C_modified,129,0.9016393442622952,0.8284517304189435,0.8975591985428051,0.8444505137820217,0.8292138899483678,0.070480865176412,,,,,,,,,,,,,,,,,,,
DSS,2026,B_vs_A,129,,,,,,,0.8611111111111112,0.0491552196904493,,,,,,,,,,,,,,,,,
DSS,2026,C_vs_A,129,,,,,,,1.1944444444444444,0.1014687820563757,,,,,,,,,,,,,,,,,
DSS,2026,C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,,,,,,,,,,,,,,,,,
DSS,2026,S2_C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,0.8003598556374859,0.0828987591396949,0.8292138899483678,0.070480865176412,0.0288540343108817,-0.0422992700729927,0.1055350152240104,,,,,,,,,,
DSS,2026,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.1944444444444444,0.1014687820563757,0.8611111111111112,0.0491552196904493,0.3333333333333332,0.0523135623659263,,,,
DSS,777,A_clinical,129,0.8805100182149362,0.7914389799635702,0.8732786885245901,0.8103588687769124,0.7804731767539048,0.1129131127274084,,,,,,,,,,,,,,,,,,,
DSS,777,B_ajcc8th,129,0.8867030965391621,0.8161566484517304,0.8809836065573771,0.822175483637547,0.799505015577317,0.1130294880361342,,,,,,,,,,,,,,,,,,,
DSS,777,C_modified,129,0.9016393442622952,0.842367941712204,0.9004553734061931,0.847834942279752,0.8262610368845326,0.0885370460840259,,,,,,,,,,,,,,,,,,,
DSS,777,B_vs_A,129,,,,,,,0.8611111111111112,0.0491552196904493,,,,,,,,,,,,,,,,,
DSS,777,C_vs_A,129,,,,,,,1.1944444444444444,0.1014687820563757,,,,,,,,,,,,,,,,,
DSS,777,C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,,,,,,,,,,,,,,,,,
DSS,777,S2_C_vs_B,129,,,,,,,0.8611111111111109,0.0523135623659263,0.799505015577317,0.1130294880361342,0.8262610368845326,0.0885370460840259,0.0267560213072155,-0.0327198093220338,0.115581098339719,,,,,,,,,,
DSS,777,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.1944444444444444,0.1014687820563757,0.8611111111111112,0.0491552196904493,0.3333333333333332,0.0523135623659263,,,,
LRRFS,42,A_clinical,129,0.7356577645895154,0.6032640949554896,0.7139960435212661,0.6075359567047396,0.5289648136543895,0.1312275071390146,,,,,,,,,,,,,,,,,,,
LRRFS,42,B_ajcc8th,129,0.7317012858555886,0.6085064292779426,0.7146884272997033,0.6016827426134378,0.5340709966130329,0.1244648384941274,,,,,,,,,,,,,,,,,,,
LRRFS,42,C_modified,129,0.7645895153313551,0.6584075173095945,0.7520276953511374,0.6586103436759978,0.6148919147815969,0.1066704994502664,,,,,,,,,,,,,,,,,,,
LRRFS,42,B_vs_A,129,,,,,,,0.5438596491228069,0.0118914228302652,,,,,,,,,,,,,,,,,
LRRFS,42,C_vs_A,129,,,,,,,1.060985797827903,0.0967797635075441,,,,,,,,,,,,,,,,,
LRRFS,42,C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,,,,,,,,,,,,,,,,,
LRRFS,42,S2_C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,0.5340709966130329,0.1244648384941274,0.6148919147815969,0.1066704994502664,0.080820918168564,-0.0066216584833605,0.2074512045014946,,,,,,,,,,
LRRFS,42,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.060985797827903,0.0967797635075441,0.5438596491228069,0.0118914228302652,0.517126148705096,0.0848883406772788,,,,
LRRFS,42,HR_age,129,,,,,,,,,,,,,,,,,,,,,,1.0099908333912055,0.983156742768191,1.0375573285111233,0.4693245595248532
LRRFS,42,HR_TIL,129,,,,,,,,,,,,,,,,,,,,,,1.02340479441329,0.9224683662300674,1.1353856799539217,0.6623413673788934
LRRFS,42,HR_differentiation,129,,,,,,,,,,,,,,,,,,,,,,1.1455155051531154,0.7569762030857544,1.733483519293067,0.5203971286236256
LRRFS,42,HR_tumor size (cm),129,,,,,,,,,,,,,,,,,,,,,,1.0202693929833513,0.837983699767345,1.2422074970522956,0.8416182710767983
LRRFS,42,HR_DOI (mm),129,,,,,,,,,,,,,,,,,,,,,,1.031063423693226,0.9929584658860758,1.0706306660363052,0.1113458878569177
LRRFS,42,HR_성별,129,,,,,,,,,,,,,,,,,,,,,,1.509863605545732,0.8401623707389767,2.713389919315745,0.1683150962034201
LRRFS,42,HR_budding_01vs23,129,,,,,,,,,,,,,,,,,,,,,,1.1030412570934147,0.6099958968312813,1.9946036049923583,0.7455716812931327
LRRFS,42,HR_PNI,129,,,,,,,,,,,,,,,,,,,,,,1.7153386678103983,0.7805312919780099,3.769722976549733,0.1792098337925927
LRRFS,42,HR_LVI,129,,,,,,,,,,,,,,,,,,,,,,1.242219272006171,0.5433101817827527,2.840198419768559,0.6072093843537717
LRRFS,42,HR_RM,129,,,,,,,,,,,,,,,,,,,,,,0.6448692197276689,0.2685418331788066,1.548571802126924,0.3263365008350517
LRRFS,42,HR_TSR,129,,,,,,,,,,,,,,,,,,,,,,0.4930948052623969,0.1884033990547547,1.2905419339387711,0.149763651215344
LRRFS,42,HR_WPOI5_2tier,129,,,,,,,,,,,,,,,,,,,,,,0.727714642587647,0.3376498168612533,1.568395937421985,0.4172156516053376
LRRFS,42,HR_subsite_2,129,,,,,,,,,,,,,,,,,,,,,,1.2511947778326409,0.3982801521298932,3.930621106032696,0.7011975895961897
LRRFS,42,HR_subsite_3,129,,,,,,,,,,,,,,,,,,,,,,1.0476236516251245,0.5167696202509112,2.123799992173446,0.8973306380614962
LRRFS,42,HR_subsite_4,129,,,,,,,,,,,,,,,,,,,,,,0.9273964392302176,0.3072379307694087,2.79934236421606,0.8936223547790079
LRRFS,42,HR_subsite_5,129,,,,,,,,,,,,,,,,,,,,,,34.31894616344047,2.6546387368645488,443.6724475588114,0.0067768597849119
LRRFS,42,HR_subsite_6,129,,,,,,,,,,,,,,,,,,,,,,1.85651692459424,0.7575757420940581,4.549584813497009,0.1760933668247236
LRRFS,42,HR_subsite_7,129,,,,,,,,,,,,,,,,,,,,,,1.2621519193225448,0.6076606903865434,2.621574001168698,0.5324495785862722
