outcome,type,var,HR,lo,hi,p,docx_HR,docx_lo,docx_hi,direction_match,sig_match
PFS,univariate,tumor_size,1.6463945484059435,1.249994074661883,2.1685022865040526,0.0003885902682324317,1.296,1.123,1.495,True,True
PFS,univariate,DOI,1.0524132661026153,1.0012152694943444,1.1062293159273782,0.044675651730890574,1.054,1.029,1.08,True,True
PFS,univariate,LN_count,0.9113740177893512,0.8390715631855313,0.9899067454367368,0.027770709475695918,1.061,1.028,1.095,False,True
PFS,univariate,LN_deposit,1.090074964054716,1.0286905294166913,1.1551223553430434,0.0035397883032541643,1.047,1.011,1.084,True,True
PFS,univariate,ENE,1.0629383426753287,0.3762346834860226,3.0030137303153457,0.9082971490483188,2.332,1.328,4.094,True,False
PFS,univariate,PD_HC,4.979653086996202,2.0296486971575525,12.21735805883944,0.00045523434137609764,3.867,2.284,6.546,True,True
PFS,univariate,PNI,2.5982454298382858,1.0019646959210622,6.737641896124644,0.049529952826923976,2.112,1.139,3.915,True,True
PFS,univariate,LVI,2.1400527192355425,0.8999004562056843,5.08925805018223,0.08518899245615909,2.361,1.311,4.25,True,False
PFS,univariate,WPOI5,0.25510748732731303,0.0964119757958865,0.6750181142250988,0.005930645596346286,,,,False,False
PFS,univariate,budding,0.3617670254067495,0.15027052708926594,0.8709318001786419,0.02331384814920835,,,,False,False
PFS,multivariate,tumor_size,1.5770602084086043,1.2925934840292261,1.9241307740412188,7.160754310332098e-06,1.43,1.063,1.924,True,True
PFS,multivariate,LN_deposit,1.0415902769323864,1.0048239374817192,1.0797018905810285,0.026254353672640066,1.083,1.024,1.145,True,True
PFS,multivariate,PD_HC,2.3615713658335227,1.1602452523271858,4.806759006114086,0.01779476648394348,2.602,1.186,5.711,True,True
DSS,univariate,tumor_size,2.0698086492185075,1.3742787485796146,3.1173499909007396,0.0004985263855459089,1.577,1.342,1.854,True,True
DSS,univariate,DOI,1.0288018318802739,0.9575123862672219,1.1053989739040517,0.43834789953228614,1.081,1.05,1.112,True,False
DSS,univariate,LN_count,0.8725397052771392,0.7521653304296161,1.012178448653395,0.07183742193545778,1.096,1.051,1.144,False,False
DSS,univariate,LN_deposit,1.0966178539365803,1.0079738427135227,1.1930574649983796,0.031981269697429454,1.052,1.008,1.099,True,True
DSS,univariate,ENE,2.544655718444579,0.5027209108811821,12.880452325053817,0.2589809520284877,3.633,1.681,7.853,True,False
DSS,univariate,PD_HC,14.146074259507028,2.6150773714195155,76.52217832731381,0.0020976779719796695,8.114,3.804,17.309,True,True
DSS,univariate,PNI,2.4243682065686567,0.639192959326104,9.195284640208792,0.19292532772120172,3.067,1.347,6.98,True,False
DSS,univariate,LVI,6.254960404086941,1.8016789024020816,21.715595162119534,0.003889072795975111,3.481,1.571,7.711,True,True
DSS,univariate,WPOI5,0.21918144843222226,0.046904067599220264,1.024229023105995,0.05366500811841008,,,,False,True
DSS,univariate,budding,0.16328925426311092,0.030966719492553037,0.8610334253912487,0.03265126542268702,,,,False,False
DSS,multivariate,tumor_size,1.6159912449488905,1.2825704287380668,2.036089126365461,4.6859007356979934e-05,1.992,1.348,2.944,True,True
DSS,multivariate,LN_deposit,1.062613821448357,1.01357643653174,1.1140236619912005,0.01175632020109107,1.094,1.007,1.189,True,True
DSS,multivariate,PD_HC,3.1167354788953934,1.1041247787796133,8.797954934171665,0.03178969384912484,13.115,2.517,68.348,True,True
DSS,multivariate,LVI,1.709326114800357,0.6620090123800314,4.41352868631523,0.2679921914684664,6.158,1.784,21.253,True,False
OS,univariate,tumor_size,1.7937269832883396,1.2686542919865003,2.5361176097380227,0.0009444122932776418,,,,False,False
OS,univariate,DOI,0.9998089425959883,0.9432117845892489,1.0598021971600187,0.9948723252838162,,,,False,True
OS,univariate,LN_count,0.9850515647796005,0.9160307442262198,1.0592729462310613,0.6844786800619906,,,,False,True
OS,univariate,LN_deposit,1.0231946267314047,0.9616078646285144,1.0887257505703374,0.46909770437031073,,,,False,True
OS,univariate,ENE,1.6394316721070046,0.5264147971675173,5.105738330247333,0.3937147953971175,,,,False,True
OS,univariate,PD_HC,6.1028641141532995,1.9356026372007795,19.24204363023748,0.0020208280458915277,,,,False,False
OS,univariate,PNI,2.5844486263275805,0.9543730369960562,6.998704325459815,0.06175030605593364,,,,False,True
OS,univariate,LVI,2.8701424825298427,1.157035294989639,7.119677252452645,0.02292761192373319,,,,False,False
OS,univariate,WPOI5,0.3863271437209721,0.1311521869929325,1.1379807336620875,0.08444379845288325,,,,False,True
OS,univariate,budding,0.1908258145145153,0.0545935074840124,0.6670113931733019,0.009481757096868366,,,,False,False
OS,multivariate,PD_HC,5.465653597835854,2.997779964666166,9.965164089307244,2.979664899642647e-08,3.372,1.631,6.97,True,True
LRRFS,univariate,tumor_size,1.1491018727022122,0.8714814361251234,1.5151614929616801,0.3246172671143177,1.098,0.922,1.306,True,True
LRRFS,univariate,DOI,1.0908878576885714,1.024921355298318,1.1611001291957508,0.006267690382521998,1.039,1.009,1.071,True,True
LRRFS,univariate,LN_count,0.8516644033863005,0.7315997428410225,0.99143317516578,0.03836489584048585,,,,False,False
LRRFS,univariate,LN_deposit,1.129063623177585,1.0477557096213486,1.2166811914998712,0.0014558440207760898,1.057,1.016,1.1,True,True
LRRFS,univariate,ENE,1.1740192461401426,0.3560376795680448,3.8712789949077524,0.7921344653513571,2.26,1.168,4.372,True,False
LRRFS,univariate,PD_HC,3.4929119290070894,1.2181814047738717,10.015284830312087,0.019955690111748737,3.281,1.759,6.118,True,True
LRRFS,univariate,PNI,2.6737759645511314,0.8779621571692763,8.142808719297625,0.08346915362767342,,,,False,True
LRRFS,univariate,LVI,1.5389280251913209,0.5649052056936762,4.192383859892213,0.39918794375727906,,,,False,True
LRRFS,univariate,WPOI5,0.1349946610718635,0.03569307362667266,0.5105628814294443,0.0031735251841137,,,,False,False
LRRFS,univariate,budding,0.6702727997518204,0.24876472958373974,1.8059860288028138,0.4288836043223554,,,,False,True
LRRFS,multivariate,LN_deposit,1.0560097154985024,1.0140912312765844,1.0996609425597914,0.00836275358932465,1.073,1.014,1.135,True,True
