model,y,seed,var,importance
Logistic,PFS,777,DOI (mm),1.0630551851976002
Logistic,PFS,777,differentiation,0.5729332346895267
Logistic,PFS,777,budding_01vs23,0.3350119306086693
Logistic,PFS,777,PNI,0.6631576320340209
Logistic,PFS,777,LVI,0.6404939011781491
Logistic,PFS,777,RM,0.3893098634448525
Logistic,PFS,777,TIL,0.5041095233128494
Logistic,PFS,777,TSR,0.49985520343890927
Logistic,PFS,777,WPOI5_2tier,0.33276358567010994
Logistic,PFS,777,HPV/P16_1,0.28921241487905575
Logistic,PFS,777,HPV/P16_2,0.5085973908503879
Logistic,PFS,777,CCRT_bin,0.394805162311371
Logistic,PFS,777,Node_known,0.23585803441555536
Logistic,PFS,777,bone invasion_known,0.48038148049485396
Logistic,PFS,777,depth of bone invasion (mm)_known,0.5749034384084253
Logistic,PFS,777,LN meta count_known,0.23585803441555536
Logistic,PFS,777,contra_bilateral_known,0.23585803441555536
Logistic,PFS,777,largest node (mm)_known,0.23315253932904065
Logistic,PFS,777,LN tumor size (mm)_known,0.23315253932904065
Logistic,PFS,777,ENE_known,0.23315253932904065
Logistic,PFS,777,N stage_known,0.34602398391006384
Logistic,PFS,777,subsite_2,0.21551643344780458
Logistic,PFS,777,subsite_3,0.28595692673693884
Logistic,PFS,777,subsite_4,0.23289768724434926
Logistic,PFS,777,subsite_5,0.37340268223925455
Logistic,PFS,777,subsite_6,0.2572105870492894
Logistic,PFS,777,subsite_7,0.4977285972204248
Logistic,PFS,777,subsite_8,0.5059627530521447
Logistic,PFS,777,Tx_3tier_1,0.24089477234461923
Logistic,PFS,777,Tx_3tier_2,0.37587915619620615
Lasso,PFS,42,age,0.03278524448905007
Lasso,PFS,42,성별,0.06018708379772675
Lasso,PFS,42,tumor size (cm),0.06619905431427923
Lasso,PFS,42,DOI (mm),0.04225741959021148
Lasso,PFS,42,differentiation,0.06225884555858383
Lasso,PFS,42,budding_01vs23,0.026454660231998404
Lasso,PFS,42,PNI,0.04743670570643415
Lasso,PFS,42,LVI,0.07008066326019521
Lasso,PFS,42,RM,0.028829794573841282
Lasso,PFS,42,TIL,0.04219398760190657
Lasso,PFS,42,TSR,0.06199925775778564
Lasso,PFS,42,WPOI5_2tier,0.02901355444340321
Lasso,PFS,42,HPV/P16_1,0.016543069870878706
Lasso,PFS,42,HPV/P16_2,0.0460987126750008
Lasso,PFS,42,CCRT_bin,0.0073547604314956674
Lasso,PFS,42,Node_known,0.049462408284140676
Lasso,PFS,42,bone invasion_known,0.03829472882064362
Lasso,PFS,42,depth of bone invasion (mm)_known,0.054167372652455435
Lasso,PFS,42,LN meta count_known,0.011847872781750127
Lasso,PFS,42,contra_bilateral_known,2.1715962361668089e-16
Lasso,PFS,42,largest node (mm)_known,0.08733543390772916
Lasso,PFS,42,LN tumor size (mm)_known,3.1974423109204506e-17
Lasso,PFS,42,ENE_known,8.88178419700126e-19
Lasso,PFS,42,N stage_known,0.0028679368982447114
Lasso,PFS,42,subsite_2,0.018982436765246025
Lasso,PFS,42,subsite_3,0.008162614728078697
Lasso,PFS,42,subsite_4,0.024280977572086734
Lasso,PFS,42,subsite_5,0.08637739741107489
Lasso,PFS,42,subsite_6,0.03152575417003177
Lasso,PFS,42,subsite_7,0.04423533316844837
Lasso,PFS,42,subsite_8,0.03968809627857921
Lasso,PFS,42,Tx_3tier_1,0.024432975418377308
Lasso,PFS,42,Tx_3tier_2,0.05030227226374719
Lasso,PFS,123,age,0.03550765180480851
Lasso,PFS,123,성별,0.06016295537797275
Lasso,PFS,123,tumor size (cm),0.03994910386456453
Lasso,PFS,123,DOI (mm),0.02245049666634302
Lasso,PFS,123,differentiation,0.05124872637336647
Lasso,PFS,123,budding_01vs23,0.014274031245180651
Lasso,PFS,123,PNI,0.023157638413208476
Lasso,PFS,123,LVI,0.061709145807422615
Lasso,PFS,123,RM,0.03525073536894197
Lasso,PFS,123,TIL,0.031100656432807895
Lasso,PFS,123,TSR,0.04840642715533664
Lasso,PFS,123,WPOI5_2tier,0.006232354856386556
Lasso,PFS,123,HPV/P16_1,0.022820567419042464
Lasso,PFS,123,HPV/P16_2,0.06851997002152163
Lasso,PFS,123,CCRT_bin,0.012551079172326073
Lasso,PFS,123,Node_known,0.07629074963098885
Lasso,PFS,123,bone invasion_known,0.06995490753768371
Lasso,PFS,123,depth of bone invasion (mm)_known,0.02641761116299889
Lasso,PFS,123,LN meta count_known,0.012573442897516723
Lasso,PFS,123,contra_bilateral_known,1.2478906796786746e-16
Lasso,PFS,123,largest node (mm)_known,0.12940053434539692
Lasso,PFS,123,LN tumor size (mm)_known,3.064215547965434e-17
Lasso,PFS,123,ENE_known,1.776356839400252e-18
Lasso,PFS,123,N stage_known,0.06505226657084802
Lasso,PFS,123,subsite_2,0.00773134943535333
Lasso,PFS,123,subsite_3,0.029980698689164663
Lasso,PFS,123,subsite_4,0.0301047686001215
Lasso,PFS,123,subsite_5,0.048146396756039836
Lasso,PFS,123,subsite_6,0.0422094216997771
Lasso,PFS,123,subsite_7,0.03318701415372784
Lasso,PFS,123,subsite_8,0.048249549304095876
Lasso,PFS,123,Tx_3tier_1,0.011690829664625393
Lasso,PFS,123,Tx_3tier_2,0.00270576503987226
Lasso,PFS,2026,age,0.055832007214194235
Lasso,PFS,2026,성별,0.026861176519707465
Lasso,PFS,2026,tumor size (cm),0.04059662143995546
Lasso,PFS,2026,DOI (mm),0.08393317300215544
Lasso,PFS,2026,differentiation,0.013196074008695723
Lasso,PFS,2026,budding_01vs23,0.02941033063374209
Lasso,PFS,2026,PNI,0.03124946188432337
Lasso,PFS,2026,LVI,0.0890803926096352
Lasso,PFS,2026,RM,0.016596474874845533
Lasso,PFS,2026,TIL,0.03116469013980961
Lasso,PFS,2026,TSR,0.040879650261931036
Lasso,PFS,2026,WPOI5_2tier,0.02199901867356758
Lasso,PFS,2026,HPV/P16_1,0.0034281558610372866
Lasso,PFS,2026,HPV/P16_2,0.03340090909792388
Lasso,PFS,2026,CCRT_bin,0.01834480804909049
Lasso,PFS,2026,Node_known,0.048598580940863334
Lasso,PFS,2026,bone invasion_known,0.0756033035926456
Lasso,PFS,2026,depth of bone invasion (mm)_known,0.02388665480836969
Lasso,PFS,2026,LN meta count_known,0.006241370854361723
Lasso,PFS,2026,contra_bilateral_known,3.819167204710536e-17
Lasso,PFS,2026,largest node (mm)_known,0.12121641970378616
Lasso,PFS,2026,LN tumor size (mm)_known,7.549516567451062e-18
Lasso,PFS,2026,ENE_known,4.884981308350688e-18
Lasso,PFS,2026,N stage_known,0.012193797468218982
Lasso,PFS,2026,subsite_2,0.03157364821782255
Lasso,PFS,2026,subsite_3,0.02814551517390469
Lasso,PFS,2026,subsite_4,0.038880538256008935
Lasso,PFS,2026,subsite_5,0.074127108366895
Lasso,PFS,2026,subsite_6,0.012090364444171352
Lasso,PFS,2026,subsite_7,0.04954462295365381
Lasso,PFS,2026,subsite_8,0.09871249921299882
Lasso,PFS,2026,Tx_3tier_1,0.0193360799677318
Lasso,PFS,2026,Tx_3tier_2,0.0016932627257461041
Lasso,PFS,777,age,0.015470740088247687
Lasso,PFS,777,성별,0.04085599258951721
Lasso,PFS,777,tumor size (cm),0.04539944859269203
Lasso,PFS,777,DOI (mm),0.11594557686122424
Lasso,PFS,777,differentiation,0.06127609121221743
Lasso,PFS,777,budding_01vs23,0.030336709504403
Lasso,PFS,777,PNI,0.06728197698782204
Lasso,PFS,777,LVI,0.07677483493663785
Lasso,PFS,777,RM,0.028226947778725402
Lasso,PFS,777,TIL,0.055018353015594955
Lasso,PFS,777,TSR,0.03916305594089107
Lasso,PFS,777,WPOI5_2tier,0.024788329455025453
Lasso,PFS,777,HPV/P16_1,0.014985595790204528
Lasso,PFS,777,HPV/P16_2,0.052940591487412134
Lasso,PFS,777,CCRT_bin,0.04698629265323804
Lasso,PFS,777,Node_known,0.083355394559986
Lasso,PFS,777,bone invasion_known,0.04090796905332379
Lasso,PFS,777,depth of bone invasion (mm)_known,0.058054119011123076
Lasso,PFS,777,LN meta count_known,0.004549416790112605
Lasso,PFS,777,contra_bilateral_known,1.7319479184152417e-17
Lasso,PFS,777,largest node (mm)_known,0.08478411971224939
Lasso,PFS,777,LN tumor size (mm)_known,4.9293902293356945e-17
Lasso,PFS,777,ENE_known,4.440892098500624e-19
Lasso,PFS,777,N stage_known,0.04607335312853156
Lasso,PFS,777,subsite_2,0.009066770267665954
Lasso,PFS,777,subsite_3,0.02788979267892856
Lasso,PFS,777,subsite_4,0.02677232470410145
Lasso,PFS,777,subsite_5,0.04613222547457402
Lasso,PFS,777,subsite_6,0.007917323203803783
Lasso,PFS,777,subsite_7,0.03224376193472637
Lasso,PFS,777,subsite_8,0.05485192480908141
Lasso,PFS,777,Tx_3tier_1,0.0036717022492916405
Lasso,PFS,777,Tx_3tier_2,0.04623353143795845
DecisionTree,PFS,42,age,0.04338355557457223
DecisionTree,PFS,42,성별,0.042395756249145274
DecisionTree,PFS,42,tumor size (cm),0.20155410590166145
DecisionTree,PFS,42,DOI (mm),0.22608816582034721
DecisionTree,PFS,42,differentiation,0.0
DecisionTree,PFS,42,budding_01vs23,0.015501382733885016
DecisionTree,PFS,42,PNI,0.06747263990102229
DecisionTree,PFS,42,LVI,0.0521344348183427
DecisionTree,PFS,42,RM,0.0
DecisionTree,PFS,42,TIL,0.021300074981044522
DecisionTree,PFS,42,TSR,0.0
DecisionTree,PFS,42,WPOI5_2tier,0.01737796723647751
DecisionTree,PFS,42,HPV/P16_1,0.0
DecisionTree,PFS,42,HPV/P16_2,0.03867088504289745
DecisionTree,PFS,42,CCRT_bin,0.027815429974912716
DecisionTree,PFS,42,Node_known,0.0
DecisionTree,PFS,42,bone invasion_known,0.0
DecisionTree,PFS,42,depth of bone invasion (mm)_known,0.0
DecisionTree,PFS,42,LN meta count_known,0.0
DecisionTree,PFS,42,contra_bilateral_known,0.0
DecisionTree,PFS,42,largest node (mm)_known,0.0
DecisionTree,PFS,42,LN tumor size (mm)_known,0.03597077220635379
DecisionTree,PFS,42,ENE_known,0.08331769303496998
DecisionTree,PFS,42,N stage_known,0.0
DecisionTree,PFS,42,subsite_2,0.0
DecisionTree,PFS,42,subsite_3,0.0
DecisionTree,PFS,42,subsite_4,0.0
DecisionTree,PFS,42,subsite_5,0.0
DecisionTree,PFS,42,subsite_6,0.0
DecisionTree,PFS,42,subsite_7,0.0
DecisionTree,PFS,42,subsite_8,0.0
DecisionTree,PFS,42,Tx_3tier_1,0.06142746068812992
DecisionTree,PFS,42,Tx_3tier_2,0.06558967583623788
DecisionTree,PFS,123,age,0.1706491337756107
DecisionTree,PFS,123,성별,0.05634693363965815
DecisionTree,PFS,123,tumor size (cm),0.13352269205586859
DecisionTree,PFS,123,DOI (mm),0.16813325602046308
DecisionTree,PFS,123,differentiation,0.017158170380019808
DecisionTree,PFS,123,budding_01vs23,0.004123079964845315
DecisionTree,PFS,123,PNI,0.05624791938185027
DecisionTree,PFS,123,LVI,0.0909686071774359
DecisionTree,PFS,123,RM,0.0
DecisionTree,PFS,123,TIL,0.0010611281238156907
DecisionTree,PFS,123,TSR,0.0017830467280296504
DecisionTree,PFS,123,WPOI5_2tier,0.0
DecisionTree,PFS,123,HPV/P16_1,0.0
DecisionTree,PFS,123,HPV/P16_2,0.06410296311024301
DecisionTree,PFS,123,CCRT_bin,0.022222800409560706
DecisionTree,PFS,123,Node_known,0.0
DecisionTree,PFS,123,bone invasion_known,0.0
DecisionTree,PFS,123,depth of bone invasion (mm)_known,0.0
DecisionTree,PFS,123,LN meta count_known,0.0
DecisionTree,PFS,123,contra_bilateral_known,0.0
DecisionTree,PFS,123,largest node (mm)_known,0.0
DecisionTree,PFS,123,LN tumor size (mm)_known,0.036975303190863056
DecisionTree,PFS,123,ENE_known,0.07040480836812743
DecisionTree,PFS,123,N stage_known,0.0
DecisionTree,PFS,123,subsite_2,0.0
DecisionTree,PFS,123,subsite_3,0.08273906779036663
DecisionTree,PFS,123,subsite_4,0.0014852732504939807
DecisionTree,PFS,123,subsite_5,0.0
DecisionTree,PFS,123,subsite_6,0.0
DecisionTree,PFS,123,subsite_7,0.0
DecisionTree,PFS,123,subsite_8,0.0
DecisionTree,PFS,123,Tx_3tier_1,0.02207581663274808
DecisionTree,PFS,123,Tx_3tier_2,0.0
DecisionTree,PFS,2026,age,0.12641461253047553
DecisionTree,PFS,2026,성별,0.005886425930129161
DecisionTree,PFS,2026,tumor size (cm),0.11641140534946497
DecisionTree,PFS,2026,DOI (mm),0.2965925368105541
DecisionTree,PFS,2026,differentiation,0.0
