outcome,type,var,boot_HR_lo,boot_HR_hi,boot_n
PFS,multivariate,tumor_size,1.109473125966266,1.5138142739883669,1000
PFS,multivariate,LN_deposit,1.0086223926026034,1.0905317405939576,1000
PFS,multivariate,PD_HC,2.383003203790487,7.647052233661649,1000
DSS,multivariate,tumor_size,1.384018334217671,1.9144444048677156,1000
DSS,multivariate,LN_deposit,1.0035070763498366,1.100176210906669,1000
DSS,multivariate,PD_HC,3.981902857686331,20.24589712824347,981
DSS,multivariate,LVI,1.5109389592817217,7.346021449908002,1000
OS,multivariate,PD_HC,2.954232085648935,11.370802967930251,998
LRRFS,multivariate,LN_deposit,1.0183768975345484,1.111282821789409,1000
